"Status","Package","Description","Pieces","Length (in)","Height (in)","Width (in)","Weight (lb)","Volume (ft³)","Warehouse Receipt","Shipper","Consignee"
"On Hand","Case","APPLE NEW IPAD","10","5.00","5.00","4.00","10.00","0.60","3519","4 NET NETWORKING CORP","ACUAMAR"
"On Hand","Box","APPLE IMAC ","20","35.00","45.00","15.00","400.00","273.40","3519","4 NET NETWORKING CORP","ACUAMAR"
